user,reason
Loveofyourlife789,age
defi_mama,deleted or shadow ban
No_Meet_1995,age
SoggyHotdish,age
ActiveAd7561,karma
SexBeforeChurch,age
Pholicious10,karma
baddaddymak,suspended
UpDown_Crypto,age
Mksrousl,karma
prajwalwillrule,suspended
Alarming_Food_3919,suspended
Substantial_Fox4402,karma
MILLEBRASE,karma
GenerationX99,karma
Abeer0900,karma
Annual-Promise-6333,karma
Fliiiix,karma
alf_london,karma
hippiewithskates,karma
FrenzyFancyBarb,karma
ProfBullishChad,karma
SatoshiNakamotoes,karma
Mr_crypto-,karma
CCCAir_Official,karma
ST33I7,age
stedgyson,suspended
crabxm,suspended
jennyYESs,deleted or shadow ban
sadsissyphus,deleted or shadow ban
cryptonitelife,deleted or shadow ban
