user,address,start_date,end_date,community,network
carlslarson,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20,2019-12-18 17:29:53,2025-04-14 08:41:11,ethtrader,mainnet
Basoosh,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE,2019-12-18 21:06:02,2028-02-06 07:21:47,ethtrader,mainnet
nootropicat,0x52727E01d666BeF35cEF630E14E096CA873d2783,2019-12-18 21:58:30,2025-01-20 01:23:27,ethtrader,mainnet
aminok,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,2019-12-19 01:29:28,2029-03-05 18:26:08,ethtrader,mainnet
Eth_Man,0x0e066ED845a6853557A0d580b3BA998b0283ACA8,2019-12-20 08:19:32,2031-02-22 12:43:46,ethtrader,mainnet
dont_hate_scienceguy,0x453646b0AD86697F3bfbE61F086F10FBf9954c72,2019-12-27 00:03:47,2023-12-31 22:23:40,ethtrader,mainnet
EarnBet,0x9Bc3d5e7b6bcB527f74C886Aebda20177B45da85,2020-08-27 22:17:44,2030-07-06 22:17:44,ethtrader,mainnet
rustedpopcorn,0xd2D117e6dbbfdD74D6b865ff859a4611bD29F3Ed,2020-08-27 23:54:42,2024-09-09 18:38:11,ethtrader,mainnet
Fritz1818,0x713376C3BB65E786d8aA0FcFfFfB39472F23e6A6,2020-10-21 14:34:43,2025-02-24 12:04:59,ethtrader,mainnet
Freimusic,0x828f2fceF4674Fa29a4611316760E503465F59e1,2021-03-15 14:56:27,2024-02-28 14:56:27,ethtrader,mainnet
Samir2298,0x54C334fa1A5BC243874eB6f7573E2e6e4e305Df0,2021-07-17 14:21:58,2024-01-14 06:26:11,ethtrader,mainnet
raymv1987,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,2022-08-05 23:11:35,2024-07-25 23:11:35,ethtrader,mainnet
FerhatDFI,0x5bd1d94CE95ae13513f9973F81Cc010C2A2FaF66,2023-02-02 13:46:35,2024-01-28 13:46:35,ethtrader,mainnet
Fantastic-Offer-9129,0x76cA18FB5A1c48BF38e47F2D8239f038bD884813,2023-03-28 11:25:23,2033-02-03 11:25:23,ethtrader,mainnet
suikonami,0x002fb0c5d1209f8f5616BA3d211Be36c4D237d55,2023-08-16 22:18:23,2024-08-10 22:18:23,ethtrader,mainnet
kirtash93,0xa51731189c99832A2ba2f28C6c2dc1Db451F3a2e,2023-08-22 02:19:59,2023-12-20 02:19:59,ethtrader,mainnet
Buzzalu,0xb89CB46A5Cf811b99A3608C8b9e63aD0DE990Fe0,2023-08-23 06:02:11,2024-01-20 06:02:11,ethtrader,mainnet
ToshiSat,0x378Ea7e7E7Db2501573a22aecc4A2269C89642C1,2023-08-26 12:39:47,2024-01-23 12:39:47,ethtrader,mainnet
ReitHodlr,0x1b036f17F5DcB000005e14773f8636b4dde76e39,2023-08-26 15:55:23,2024-08-20 15:55:23,ethtrader,mainnet
rootpl,0xEdc0321b407b165CF926BE3E77ecB6C791f731bA,2023-08-26 17:11:11,2024-03-04 15:50:35,ethtrader,mainnet
Odlavso,0x3cAa5fa6358Ae6972bc92F5A96444ED4AabF4737,2023-08-27 18:24:47,2023-12-25 18:24:47,ethtrader,mainnet
scientifichistorian,0xb17DcDD2bcd04d9B19B768d87600a5B5b45db82d,2023-08-28 08:23:35,2024-08-22 08:23:35,ethtrader,mainnet
bvandepol,0x52a7f4e8904F70Ea831ED31511b35AadCB36b1d9,2023-09-03 05:50:23,2024-01-31 05:50:23,ethtrader,mainnet
pythonskynet,0xe7F3c9746282d534f8C90fD410624333e23AC565,2023-09-04 13:00:59,2024-08-29 13:00:59,ethtrader,mainnet
tambaybtc,0xA792B45bc1Ce5B71a32B79F58D0d5D9fDD28d073,2023-09-09 17:02:47,2024-09-03 17:02:47,ethtrader,mainnet
InsaneMcFries,0xcBedBe4f7b04Def3b4ddb581c266a0c45023D99f,2023-09-12 01:31:11,2024-01-10 01:31:11,ethtrader,mainnet
LivingFondant1419,0x3630De8985d2B2Ff2D6f0f5876a368ba2C1A9b3a,2023-09-14 07:26:47,2024-04-11 07:26:47,ethtrader,mainnet
CoolCoolPapaOldSkool,0x3e94cE15A42a8E8a0AbE405a7B0dc4F00f2862Db,2023-09-16 11:45:59,2024-03-14 11:45:59,ethtrader,mainnet
SuperNoise5209,0x18722119EA2D21ED8b5E13E796BD92A7345C1802,2023-09-17 21:11:35,2024-02-14 21:11:35,ethtrader,mainnet
TokenMining,0x274F7DC36eE5705ea3244EBCeba8b411751E6d48,2023-09-18 15:33:59,2025-10-07 15:33:59,ethtrader,mainnet
Sharp-Subject-047,0x5b3eA1DEFFd61ff316D14770601B03eD070962a8,2023-09-21 06:39:23,2024-02-18 06:39:23,ethtrader,mainnet
Lokiee0077,0x4df57f4A62f05dDB2eC4e6749677AA8e77740a2E,2023-10-09 15:44:35,2024-02-06 15:44:35,ethtrader,mainnet
Atyzze,0x92ddbdfCEE1301F827c6228B65A1B46b0E871fc2,2023-10-10 12:36:59,2026-08-25 12:36:59,ethtrader,mainnet
eonesimoszsss,0xAf85D799DeA4b959c8c877bFdD2f1c7ccf83549F,2023-10-10 23:22:23,2024-01-08 23:22:23,ethtrader,mainnet
