user,reason
PublicSleeper,suspended
DonutBurner,age
RCAHoarder,age
bitcoinmonkey_org,karma
cryptonitelife,age
telejoshi,suspended
Mr-Pomeroy,age
Plenty-Whole6860,karma
PsychologicalTie3891,age
overallpersonality8,age
Cicaatrici,karma
thealiensguy,suspended
quintavious_danilo,age
DelpeNNN,deleted or shadow ban
MrGodzilla166,suspended
Nabzzzzz00,suspended
Consistent-Disk3643,deleted or shadow ban
Bazajaytee21,deleted or shadow ban
Senior_Confidence_60,deleted or shadow ban
Fiddlers-list,suspended
Busy-Development9246,deleted or shadow ban
