username,points,contrib,comment_score,post_score,offchain_tips,funded,voting,pay2post,eligible_comments,eligible_posts,eligibility_reason,multiplier,address
ROUND 159 BURN,408241.3172,0,0,0,0,0,0,0,0,0,,1.0,0x000000000000000000000000000000000000dEaD
kirtash93,42500.0,160170.5509,29123.6645,104204.3247,11.69,0.0,9.9329,-3500.0,1,1,,1.0,0xc149c6d082Da03319497A4Cfea8324A88CD1C898
0xmarcaurel,42500.0,93265.7542,6476.5191,67043.3389,-46.31,0.0,4.8663,-3000.0,1,1,,1.0,0x354E93137D53ec467112504d7b0e4961362Ef7B7
dbrimatt,42500.0,80165.4287,28197.1491,37924.2273,-2386.887,0.0,5.8029,-2000.0,1,1,,1.0,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650
creative_ad7831,42500.0,59891.7171,3868.94,53423.4415,51.0,0.0,3.7171,-7750.0,1,1,,1.0,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D
aminok,42500.0,54700.4997,3217.3468,41544.3109,46.0,0.0,0.0,-1000.0,1,1,,1.0,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF
odd-radio-8500,31893.7009,40252.7532,32519.5741,0.0,-24.0,0.0,4.043,0,1,1,,0.9813699610422495,0x795065F0368BE7149140D2b134fe2bA072db42AE
coinfeeds-bot,17722.4074,19912.1714,17695.4074,0.0,27.0,0.0,0.0,0,1,1,,1.0,0xd056666321700092B032b2571431B2478cD6512E
donut-bot,17720.4074,19912.1714,17695.4074,0.0,25.0,0.0,0.0,0,1,1,,1.0,0xa8C8c9e18C763805c91bcB720B2320aDe16a0BBf
mixdealyn,14673.8246,18200.4837,12166.96,2476.315,278.887,0.0,1.6627,-250.0,1,1,,1.0,0xd90deab1894f334febcB808b4b44265Be463aAa2
king__robbo,14377.7381,16975.2311,13310.0833,0.0,1066.0,0.0,1.6548,0,1,1,,1.0,0x02977d017bf7002b5B8f32C1D2F3024f96eaB73b
obolli,9595.2248,10375.532,1608.6734,9957.5514,29.0,0.0,0.0,-2000.0,1,1,,1.0,0xd44d3D1652851a35ad1A0418114c03a0f97c1D60
wisechest8227,7753.3628,8566.5424,4021.6835,4986.6793,-5.0,0.0,0.0,-1250.0,1,1,,1.0,0x5dA9d055e6d8EBE0bFD59BD15cf631cBEF786082
complete_oven_9651,6357.5066,6756.5734,0.0,6603.5066,4.0,0.0,0.0,-250.0,1,1,,1.0,0xBa4f232b8461e1f4d92253E587261076459274b3
