user,comments,posts,reason
kirtash93,1,1,
0xmarcaurel,1,1,
dbrimatt,1,1,
cymandetv,1,1,
creative_ad7831,1,1,
aminok,1,1,
odd-radio-8500,1,1,
siginwanne,1,1,
coinfeeds-bot,1,1,
donut-bot,1,1,
mixdealyn,1,1,
king__robbo,1,1,
obolli,1,1,
malixshak,1,1,
wisechest8227,1,1,
complete_oven_9651,1,1,
hooftly,1,1,
bottomtimer_tunafish,1,1,
thecryptos,1,1,
tahiraslam8k,1,1,
ok_budget9461,0,0,karma and/or age
legionticket,1,1,
incompetentdonuts,1,0,comments only
remedyiii,1,1,
snoocalculations1742,1,1,
hduynam99,1,1,
partymsl,1,1,
abcoathup,1,1,
ice-flght,1,1,
babyshark_77345,1,0,comments only
josefumi12,1,1,
oschmosch,1,1,
celmate,1,1,
tserica,1,1,
supaflyray,1,1,
pizzatimedudes,0,0,karma and/or age
towjamb,1,1,
admirral,1,1,
mrjune2040,1,1,
cuervo_gris,1,1,
olmops,1,1,
ma78l,1,1,
anonuemus,1,1,
phatom_user_01,1,1,
drrobbe,1,1,
greenwolf_12,1,1,
xennenial,1,1,
interpole10,1,1,
gubbie99,1,1,
italianmast3rm1n4,1,1,
drdent19,1,1,
grannyte,1,1,
torofukatasu,1,1,
roy1984,1,1,
lexsteel11,1,1,
wtwiv,1,1,
vivarevo,1,1,
sapfromtrees,1,1,
megselepgeci,1,1,
shinepdx,1,1,
blueberry_dependent,1,1,
clean_cut89,1,1,
foreignger,1,1,
j-96788-eu,1,1,
macktologist,1,1,
cm19901,1,1,
tobetobii,1,1,
na7oul,1,1,
uthillygooth,1,1,
aroundforeveryone,1,1,
leviathynx,1,1,
abysskitten,1,1,
somsanite7,1,1,
final_lionel,1,1,
nagemasu,1,1,
lulepu,1,0,comments only
lady_lucks_man,1,1,
0x456,1,1,
taykeshi,1,1,
thorp1,1,1,
krunchykushking,1,1,
x_lincoln_x,1,1,
cgi_ocd,1,1,
shibeceo,1,1,
bapfelbaum,1,1,
desperate-fondant-41,1,1,
againer,1,1,
jesser9,1,1,
emergensee13,0,0,karma and/or age
buy_ether,1,1,
a_library_socialist,1,1,
dogstunning4845,1,1,
b12washingbeard,1,1,
automatic-ad-951,0,0,karma and/or age
ianhawdon,1,1,
jumpycoconut7,0,0,karma and/or age
due_camel_4545,0,0,karma and/or age
optimalplantintorock,1,1,
denaneha,1,1,
gius3p,1,0,comments only
basoosh,1,1,
bazooka_star,1,1,
kaijeng,1,1,
kingkai1998,0,0,karma and/or age
ogauditcrypto,0,0,karma and/or age
amirmalla009,0,0,deleted or shadow ban
overallpersonality8,1,1,
xcreampye69x,1,1,
dongerated,1,1,
lorem_epsom_dollar,1,1,
2020visionsloth,1,1,
arrivalwrong7289,1,1,
security_raven,1,1,
cccair_official,0,0,karma and/or age
mambamentality24x2,1,1,
